name,money_raised,announced_date,location,industries,description,funding_type,lead_investors,total_funding
Sceye,"$50,000,000","Aug 4, 2021","Moriarty, New Mexico, United States, North America","3D Technology, Aerospace, Internet, Sensor, Solar",Sceye is a material science company that is leading the development of a new generation of high-altitude platform stations,Series B,KittyHawk Ventures,"$50,000,000"
Portside,"$50,000,000","Feb 1, 2023","San Francisco, California, United States, North America","Aerospace, Air Transportation, Analytics, Software, Transportation","Portside is an aircraft data, reporting, and analytics platform for individual and corporate plane owners.",Series B,Insight Partners,"$67,273,880"
Percipient.ai,"$49,999,997","Apr 23, 2021","Santa Clara, California, United States, North America","Analytics, Artificial Intelligence (AI), Machine Learning, National Security, Security",Percipient.ai is a provider of an artificial intelligence advanced analytics platform designed to provide solutions for Intelligence.,Venture - Series Unknown,—,"$87,199,995"
H55,"CHF45,000,000","Sep 21, 2023","Sion, Valais, Switzerland, Europe","Aerospace, Electronics, Manufacturing","H 55 is developing certified technology solutions to make aviation clean, quite, efficient, affordable and ultimative autonomous.",Series C,"+ND Capital, RTX Ventures, Tippet Venture Partners","$82,270,411"
ABL Space Systems,"$49,000,000","Mar 31, 2020","El Segundo, California, United States, North America","Aerospace, Information Technology, Satellite Communication",ABL Space Systems specializes in building rockets to launch satellites.,Series A,Venrock,"$459,000,000"
Elroy Air,"$48,925,588","Jan 16, 2024","San Francisco, California, United States, North America","Aerospace, Air Transportation, Logistics, Robotics","Elroy Air is a logistics company that specializes in the fields of logistics, robotics, and air transportation.",Venture - Series Unknown,—,"$104,907,537"
Armada,"$47,300,000","Dec 11, 2023","San Francisco, California, United States, North America","Artificial Intelligence (AI), Cloud Computing, Data Center, National Security, Software",Welcome to the new edge. Armada is the world’s first full-stack edge computing platform.,Series A,8090 Industries,"$60,300,000"
Grayshift,"$47,000,000","Oct 26, 2020","Atlanta, Georgia, United States, North America","Law Enforcement, Security","Grayshift is a provider of mobile device digital forensics, specializing in lawful access and extraction.",Series A,Peakequity,"$94,000,000"
Grayshift,"$47,000,000","Jun 1, 2020","Atlanta, Georgia, United States, North America","Law Enforcement, Security","Grayshift is a provider of mobile device digital forensics, specializing in lawful access and extraction.",Series A,—,"$94,000,000"
Satys,"€40,000,000","Sep 30, 2021","Blagnac, Midi-Pyrenees, France, Europe",Aerospace,Satys offers the aviation and rail industry unique services resulting from its in-house team of painting & sealing experts.,Venture - Series Unknown,Ace Capital Partners,"€40,000,000"
Orbex Space,"£40,400,000","Oct 18, 2022","Forres, Moray, United Kingdom, Europe","Aerospace, Autonomous Vehicles, Satellite Communication, Space Travel","Orbex is a space company that offers orbital launch services specifically designed for small satellites, with a focus on reusability.",Series C,Scottish National Investment Bank,"$134,493,461"
Aerospacelab,"€40,000,000","Feb 16, 2022","Mont-saint-guibert, Brabant Wallon, Belgium, Europe",Aerospace,Aerospacelab is a company aiming at tackling some of the most challenging problems with a completely different paradigm.,Series B,"Airbus Ventures, XAnge","€51,000,000"
Impulse Space,"$45,000,000","Jul 24, 2023","El Segundo, California, United States, North America","Aerospace, Manufacturing, Space Travel",Impulse Space develops orbital maneuvering vehicles for last-mile cargo delivery.,Series A,"Alumni Ventures, RTX Ventures","$75,000,000"
Boom Supersonic,"$45,000,000","Jun 18, 2021","Centennial, Colorado, United States, North America","Aerospace, Air Transportation, Manufacturing","Boom Supersonic is a commercial airplane manufacturer that builds supersonic airliners designed for speed, safety, and sustainability.",Venture - Series Unknown,Prime Movers Lab,"$207,496,024"
Wingcopter,"€42,000,000","Jun 21, 2022","Weiterstadt, Hessen, Germany, Europe","Aerospace, Air Transportation, Drones, Last Mile Transportation, Logistics",Wingcopter is a manufacturer of unmanned eVTOL fixed-wing aircrafts for commercial and humanitarian applications.,Series A,—,"$109,877,967"
The Exploration Company,"€40,000,000","Feb 1, 2023","Munich, Bayern, Germany, Europe","Aerospace, Air Transportation, Manufacturing, Space Travel","The Exploration Company develops, manufactures and operates modular and reusable spaceships serving the needs of space stations.",Series A,"EQT Ventures, Red River West","€46,800,000"
Varda,"$42,000,000","Jul 21, 2021","San Francisco, California, United States, North America","Aerospace, Manufacturing, Product Design",Varda is a space manufacturing startup that creates products in microgravity and retrieves them for terrestrial use.,Series A,Khosla Ventures,"$141,025,000"
Accion Systems,"$42,000,000","Jul 21, 2021","Boston, Massachusetts, United States, North America","Aerospace, Hardware, Manufacturing, Product Design",Accion Systems provides in-space propulsion systems for satellites based on proprietary technology developed at MIT.,Series C,Tracker Capital Management,"$68,500,000"
Space Perspective,"$41,000,000","Oct 14, 2021","Merritt Island, Florida, United States, North America","Aerospace, Space Travel, Tourism",Space Perspective is a space travel company that provides an accessible carbon-neutral spaceflight experience.,Series A,Prime Movers Lab,"$65,083,333"
Slingshot Aerospace,"$40,850,000","Dec 6, 2022","Austin, Texas, United States, North America","Aerospace, Analytics, Simulation, Software","Slingshot Aerospace builds space data, analytics, and simulation solutions.",Series A,Sway Ventures,"$118,935,900"
Second Front Systems,"$40,000,000","Nov 22, 2023","Wilmington, Delaware, United States, North America","Information Services, Information Technology, National Security, SaaS, Software",Second Front Systems accelerates the delivery of software-as-a-service (SaaS) solutions to the government.,Series B,New Enterprise Associates,"$82,100,000"
Astranis,"$40,000,000","Feb 13, 2020","San Francisco, California, United States, North America","Aerospace, Internet, Satellite Communication, Telecommunications",Astranis is a space startup that builds small and low-cost telecommunications satellites to provide internet access in remote regions.,Series B,Venrock,"$553,499,998"
LyteLoop,"$40,000,000","Feb 9, 2021","Great Neck, New York, United States, North America","Aerospace, Data Storage",LyteLoop operates as a data storage company.,Venture - Series Unknown,—,"$40,000,000"
Gecko Robotics,"$40,000,000","Dec 16, 2019","Pittsburgh, Pennsylvania, United States, North America","Industrial Engineering, Information Technology, Infrastructure, Military, Robotics, Software","Gecko Robotics provides robotics and inspection services, particularly for industrial applications.",Series B,Drive Capital,"$222,000,000"
DRONAMICS,"$40,000,000","Feb 17, 2023","London, England, United Kingdom, Europe","Aerospace, Drones, Logistics, Shipping",DRONAMICS is a cargo drone airline that develops drone technology for cargo transportation and logistics operations.,Seed,—,"$75,418,626"
Skydweller,"$40,000,000","Sep 9, 2021","Alexandria, Virginia, United States, North America","Aerospace, Drones, Geospatial, Government, GovTech, Telecommunications",Skydweller is an aerospace company developing solar powered aircraft capable of perpetual flight.,Series A,"Advection Growth Capital, Leonardo Company, Marlinspike Capital","$40,000,000"
Xwing,"$40,000,000","Apr 15, 2021","San Francisco, California, United States, North America","Aerospace, Industrial Engineering, Software",Xwing is an autonomous aviation company building a network of autonomous aircraft for regional distances.,Series B,Blackhorn Ventures,"$54,000,000"
Elroy Air,"$40,000,000","Aug 4, 2021","San Francisco, California, United States, North America","Aerospace, Air Transportation, Logistics, Robotics","Elroy Air is a logistics company that specializes in the fields of logistics, robotics, and air transportation.",Series A,"Lockheed Martin Ventures, Marlinspike Capital, Prosperity7 Ventures","$104,907,537"
Mark43,"$39,999,992","May 31, 2024","New York, New York, United States, North America","GovTech, Information Services, Law Enforcement, Public Safety, Software",Mark43 offers cloud-based public safety software for law enforcement to ensure accurate responses.,Venture - Series Unknown,—,"$268,824,992"
Ursa Major,"$38,000,000","Nov 30, 2023","Berthoud, Colorado, United States, North America","Aerospace, National Security, Satellite Communication, Space Travel","Ursa Major provides a propulsion system for space launch, hypersonics, and national security.",Series D,Explorer 1 Fund,"$271,829,970"
Pyka,"$37,000,000","Apr 27, 2022","Oakland, California, United States, North America","Aerospace, Air Transportation, Autonomous Vehicles, Robotics","Pyka is harnessing automation and electrification to make aviation safer, cleaner, and more cost-effective than ever before.",Series A,"Piva Capital, Prelude Ventures","$48,100,000"
Pixxel,"$36,000,000","Jun 1, 2023","El Segundo, California, United States, North America","Aerospace, Geospatial, Information Technology, Satellite Communication",Pixxel is a space data company that develops a constellation of hyperspectral earth imaging satellites.,Series B,Google,"$70,980,000"
ZeroAvia,"$35,000,000","Dec 13, 2021","Hollister, California, United States, North America","Aerospace, Air Transportation, CleanTech, Industrial",ZeroAvia develops zero-emission hydrogen fuel cell powertrain solutions for aircraft.,Series B,"Alaska Air Group, United Airlines","$259,950,000"
SpinLaunch,"$35,000,000","Jan 16, 2020","Long Beach, California, United States, North America","Aerospace, Space Travel",SpinLaunch is an aerospace company focused on sending satellites to low-Earth orbit using kinetic energy.,Venture - Series Unknown,Airbus Ventures,"$146,000,000"
Heart Aerospace,"$35,000,000","Jul 13, 2021","Göteborg, Vastra Gotaland, Sweden, Europe",Aerospace,Heart Aerospace is a Swedish startup making electric regional airplanes.,Series A,"Breakthrough Energy Ventures, Mesa Air Group","$147,170,078"
